??/?????/???,???????,CO,O3,NO2,SO2,PM10,Rel hum,Temp,Wind dir,Wind speed,PM2.5
,,at 3 m (ppm),at 3 m (ppb),at 3 m (ppb),at 3 m (ppb),at 3 m (???./??.?.),at 2 m (%RH),at 2 m ,at 10 m (Deg.M),at 10 m (m/s),at 3 m (???./??.?.)
170110,900,-,-,-,-,-,-,-,-,-,
170110,1000,-,-,-,-,-,-,-,-,-,
170110,1100,-,-,-,-,-,-,-,-,-,
170110,1200,-,-,-,-,-,-,-,-,-,
170110,1300,-,-,-,-,-,-,-,-,-,
170110,1400,-,-,-,-,-,-,-,-,-,
170110,1500,-,-,-,-,-,-,-,-,-,
170110,1600,-,-,-,-,-,-,-,-,-,
170110,1700,-,-,-,-,-,-,-,-,-,
170110,1800,-,-,-,-,-,-,-,-,-,
170110,1900,-,-,-,-,-,-,-,-,-,
170110,2000,-,-,-,-,-,-,-,-,-,
170110,2100,-,-,-,-,-,-,-,-,-,
170110,2200,-,-,-,-,-,-,-,-,-,
170110,2300,-,-,-,-,-,-,-,-,-,
170110,2400,-,-,-,-,-,-,-,-,-,
170111,100,-,-,-,-,-,-,-,-,-,
170111,200,-,-,-,-,-,-,-,-,-,
170111,300,-,-,-,-,-,-,-,-,-,
170111,400,-,-,-,-,-,-,-,-,-,
170111,500,-,-,-,-,-,-,-,-,-,
170111,600,-,-,-,-,-,-,-,-,-,
170111,700,-,-,-,-,-,-,-,-,-,
170111,800,-,-,-,-,-,-,-,-,-,
170111,900,-,-,-,-,-,-,-,-,-,
170111,1000,-,-,-,-,-,-,-,-,-,
170111,1100,-,-,-,-,-,-,-,-,-,
170111,1200,-,-,-,-,-,-,-,-,-,
170111,1300,-,-,-,-,-,-,-,-,-,
170111,1400,-,-,-,-,-,-,-,-,-,
170111,1500,-,-,-,-,-,-,-,-,-,
170111,1600,-,-,-,-,-,-,-,-,-,
170111,1700,-,-,-,-,-,-,-,-,-,
170111,1800,-,-,-,-,-,-,-,-,-,
170111,1900,-,-,-,-,-,-,-,-,-,
170111,2000,-,-,-,-,-,-,-,-,-,
170111,2100,-,-,-,-,-,-,-,-,-,
170111,2200,-,-,-,-,-,-,-,-,-,
170111,2300,-,-,-,-,-,-,-,-,-,
170111,2400,-,-,-,-,-,-,-,-,-,
170112,100,-,-,-,-,-,-,-,-,-,
170112,200,-,-,-,-,-,-,-,-,-,
170112,300,-,-,-,-,-,-,-,-,-,
170112,400,-,-,-,-,-,-,-,-,-,
170112,500,-,-,-,-,-,-,-,-,-,
170112,600,-,-,-,-,-,-,-,-,-,
170112,700,-,-,-,-,-,-,-,-,-,
170112,800,-,-,-,-,-,-,-,-,-,
170112,900,-,-,-,-,-,-,-,-,-,
170112,1000,-,-,-,-,-,-,-,-,-,
170112,1100,-,-,-,-,-,-,-,-,-,
170112,1200,-,-,-,-,-,-,-,-,-,
170112,1300,-,-,-,-,-,-,-,-,-,
170112,1400,-,-,-,-,-,-,-,-,-,
170112,1500,-,-,-,-,-,-,-,-,-,
170112,1600,-,-,-,-,-,-,-,-,-,
170112,1700,-,-,-,-,-,-,-,-,-,
170112,1800,-,-,-,-,-,-,-,-,-,
170112,1900,-,-,-,-,-,-,-,-,-,
170112,2000,-,-,-,-,-,-,-,-,-,
170112,2100,-,-,-,-,-,-,-,-,-,
170112,2200,-,-,-,-,-,-,-,-,-,
170112,2300,-,-,-,-,-,-,-,-,-,
170112,2400,-,-,-,-,-,-,-,-,-,
170113,100,-,-,-,-,-,-,-,-,-,
170113,200,-,-,-,-,-,-,-,-,-,
170113,300,-,-,-,-,-,-,-,-,-,
170113,400,-,-,-,-,-,-,-,-,-,
170113,500,-,-,-,-,-,-,-,-,-,
170113,600,-,-,-,-,-,-,-,-,-,
170113,700,-,-,-,-,-,-,-,-,-,
170113,800,-,-,-,-,-,-,-,-,-,
170113,900,-,-,-,-,-,-,-,-,-,
170113,1000,-,-,-,-,-,-,-,-,-,
170113,1100,-,-,-,-,-,-,-,-,-,
170113,1200,-,-,-,-,-,-,-,-,-,
170113,1300,-,-,-,-,-,-,-,-,-,
170113,1400,-,-,-,-,-,-,-,-,-,
170113,1500,-,-,-,-,-,-,-,-,-,
170113,1600,-,-,-,-,-,-,-,-,-,
170113,1700,-,-,-,-,-,-,-,-,-,
170113,1800,-,-,-,-,-,-,-,-,-,
170113,1900,-,-,-,-,-,-,-,-,-,
170113,2000,-,-,-,-,-,-,-,-,-,
170113,2100,-,-,-,-,-,-,-,-,-,
170113,2200,-,-,-,-,-,-,-,-,-,
170113,2300,-,-,-,-,-,-,-,-,-,
170113,2400,-,-,-,-,-,-,-,-,-,
170114,100,-,-,-,-,-,-,-,-,-,
170114,200,-,-,-,-,-,-,-,-,-,
170114,300,-,-,-,-,-,-,-,-,-,
170114,400,-,-,-,-,-,-,-,-,-,
170114,500,-,-,-,-,-,-,-,-,-,
170114,600,-,-,-,-,-,-,-,-,-,
170114,700,-,-,-,-,-,-,-,-,-,
170114,800,-,-,-,-,-,-,-,-,-,
170114,900,-,-,-,-,-,-,-,-,-,
170114,1000,-,-,-,-,-,-,-,-,-,
170114,1100,-,-,-,-,-,-,-,-,-,
170114,1200,-,-,-,-,-,-,-,-,-,
