??/?????/???,???????,CO,O3, NO2, SO2,PM10,Rel hum,Temp,Wind dir,Wind speed,PM2.5
,,at 3 m (ppm),at 3 m (ppb),at 3 m (ppb),at 3 m (ppb),at 3 m (???./??.?.),at 2 m (%RH),at 2 m ,at 10 m (Deg.M),at 10 m (m/s),at 3 m (???./??.?.)
170111,2400,0.3,0,0,4,36,100,27,358,0.6,
170112,100,0.3,0,0,4,39,100,26.4,356,0.8,
170112,200,0.3,0,0,3,51,100,26.4,358,0.7,
170112,300,0.3,0,0,3,17,100,27,352,1,
170112,400,,,,,10,100,26.6,351,0.9,
170112,500,0.4,0,0,4,20,100,26.1,326,1,
170112,600,0.6,0,0,3,51,100,26,330,0.3,
170112,700,0.8,2,0,4,48,100,25.7,318,0.8,
170112,800,0.9,6,0,4,54,100,27,347,0.3,
170112,900,0.6,11,1,4,11,100,28,355,0.7,
170112,1000,0.4,20,1,4,20,78,30,0,0.6,
170112,1100,0.3,15,0,3,4,71,29.9,358,0.8,
170112,1200,0.4,8,0,3,37,68,30.6,31,0.5,
170112,1300,0.4,7,0,3,51,67,30.7,24,0.6,
170112,1400,0.3,4,0,3,34,68,30.3,17,0.8,
170112,1500,0.3,3,0,3,31,67,30.5,19,0.7,
170112,1600,0.4,0,0,3,33,69,30.1,20,0.6,
170112,1700,0.5,0,0,3,27,70,29.8,8,0.6,
170112,1800,0.6,0,0,3,48,76,29,27,0.3,
170112,1900,0.5,0,0,3,49,88,28,13,0.4,
170112,2000,0.4,0,0,3,50,100,27.5,7,0.7,
170112,2100,0.4,0,0,2,26,100,27.3,5,0.4,
170112,2200,0.4,0,0,2,27,100,27.2,12,0.5,
170112,2300,0.3,0,0,2,24,100,27.1,11,0.3,
170112,2400,0.3,0,0,2,26,100,27.3,88,0.1,
170113,100,0.3,0,0,2,29,100,27.2,55,0.1,
170113,200,0.3,7,0,2,22,100,26.9,32,0.1,
170113,300,,,,,24,100,26.9,51,0.1,
170113,400,0.3,0,0,3,35,100,26.6,125,0,
170113,500,0.4,0,0,2,47,100,26.5,12,0.1,
170113,600,0.6,0,0,2,30,100,26.7,16,0.1,
170113,700,1.1,0,0,3,91,100,26.7,53,0,
170113,800,1.2,0,0,3,106,100,27,118,0.1,
170113,900,0.7,0,0,3,66,100,27.1,133,0.1,
170113,1000,0.6,0,0,3,32,100,29,164,0.1,
170113,1100,0.6,0,1,3,49,84,29.9,169,0.1,
170113,1200,0.7,0,1,3,78,70,31,200,0.4,
170113,1300,0.6,28,1,3,78,67,31,131,0.2,
170113,1400,0.4,58,1,3,53,62,32,123,0.2,
170113,1500,0.4,71,0,3,79,61,32,99,0.4,
170113,1600,0.5,64,7,3,53,56,32,139,0.2,
170113,1700,0.7,44,5,3,83,54,32.1,159,0.2,
170113,1800,0.7,19,16,3,88,58,31,169,0.1,
170113,1900,2.6,4,26,4,85,61,30.2,29,0.1,
170113,2000,5.1,0,31,4,72,62,29.7,48,0.1,
170113,2100,2.7,0,32,4,129,70,29,338,0.1,
170113,2200,1.6,0,27,4,101,75,28.2,86,0,
170113,2300,1.7,0,21,5,136,80,27.8,37,0.1,
170113,2400,0.9,0,18,5,100,95,28,10,0.1,
